kod,title,task_id,distractor_1,distractor_2,distractor_3,target,full_text,sentence_with_gap,sentence_with_answer
0EAA8F,Olivia,35,up,down,on,out,"I never took Olivia to the theatre, but it was there I met her. I formed the habit now of going every Saturday night, usually alone, sometimes with George. It was George who introduced me to Olivia Nelson. She was an only child whose father, a cotton merchant, had died and left her all he had. She was not very beautiful but she was tall, very graceful, smartly dressed and attracted me at once. Olivia got interested when George said that I was a novelist. Novelists were not too common in Cornwell then, though I believe they are now as numerous as knights. Olivia adored famous people. She was delighted to meet me. It turned out that Olivia had read my books, at least some of them and she liked them. She could talk intelligently about them. She praised them and criticized them with a good deal of common sense. She discussed new plays and new books with me. She developed a habit of being wherever I was to be found. We had a few meals together at restaurants, and I discovered that I was dressing with unusual care. She was so excited and happy, so full of good conversation, that I was charmed and captivated by her company. But I couldn't help thinking that something was wrong. There was no reason to think the worst. However, I couldn't make myself propose to her.","It turned 35 ______ that Olivia had read my books, at least some of them and she liked them.","It turned out that Olivia had read my books, at least some of them and she liked them."
0EAA8F,Olivia,36,tell,discuss,say,talk,"I never took Olivia to the theatre, but it was there I met her. I formed the habit now of going every Saturday night, usually alone, sometimes with George. It was George who introduced me to Olivia Nelson. She was an only child whose father, a cotton merchant, had died and left her all he had. She was not very beautiful but she was tall, very graceful, smartly dressed and attracted me at once. Olivia got interested when George said that I was a novelist. Novelists were not too common in Cornwell then, though I believe they are now as numerous as knights. Olivia adored famous people. She was delighted to meet me. It turned out that Olivia had read my books, at least some of them and she liked them. She could talk intelligently about them. She praised them and criticized them with a good deal of common sense. She discussed new plays and new books with me. She developed a habit of being wherever I was to be found. We had a few meals together at restaurants, and I discovered that I was dressing with unusual care. She was so excited and happy, so full of good conversation, that I was charmed and captivated by her company. But I couldn't help thinking that something was wrong. There was no reason to think the worst. However, I couldn't make myself propose to her.",She could 36 ______ intelligently about them.,She could talk intelligently about them.
0EAA8F,Olivia,37,determined,revealed,disclosed,discovered,"I never took Olivia to the theatre, but it was there I met her. I formed the habit now of going every Saturday night, usually alone, sometimes with George. It was George who introduced me to Olivia Nelson. She was an only child whose father, a cotton merchant, had died and left her all he had. She was not very beautiful but she was tall, very graceful, smartly dressed and attracted me at once. Olivia got interested when George said that I was a novelist. Novelists were not too common in Cornwell then, though I believe they are now as numerous as knights. Olivia adored famous people. She was delighted to meet me. It turned out that Olivia had read my books, at least some of them and she liked them. She could talk intelligently about them. She praised them and criticized them with a good deal of common sense. She discussed new plays and new books with me. She developed a habit of being wherever I was to be found. We had a few meals together at restaurants, and I discovered that I was dressing with unusual care. She was so excited and happy, so full of good conversation, that I was charmed and captivated by her company. But I couldn't help thinking that something was wrong. There was no reason to think the worst. However, I couldn't make myself propose to her.","We had a few meals together at restaurants, and I 37 ______ that I was dressing with unusual care.","We had a few meals together at restaurants, and I discovered that I was dressing with unusual care."
0EAA8F,Olivia,38,matter,account,cause,reason,"I never took Olivia to the theatre, but it was there I met her. I formed the habit now of going every Saturday night, usually alone, sometimes with George. It was George who introduced me to Olivia Nelson. She was an only child whose father, a cotton merchant, had died and left her all he had. She was not very beautiful but she was tall, very graceful, smartly dressed and attracted me at once. Olivia got interested when George said that I was a novelist. Novelists were not too common in Cornwell then, though I believe they are now as numerous as knights. Olivia adored famous people. She was delighted to meet me. It turned out that Olivia had read my books, at least some of them and she liked them. She could talk intelligently about them. She praised them and criticized them with a good deal of common sense. She discussed new plays and new books with me. She developed a habit of being wherever I was to be found. We had a few meals together at restaurants, and I discovered that I was dressing with unusual care. She was so excited and happy, so full of good conversation, that I was charmed and captivated by her company. But I couldn't help thinking that something was wrong. There was no reason to think the worst. However, I couldn't make myself propose to her.",There was no 38 ______ to think the worst.,There was no reason to think the worst.
15e618,Daphne,30,resembled,received,reviewed,recognised,"Daphne was a fan of Bedford Castle show. She watched a new scene being shot early the next morning when she went for a walk before breakfast. The actors were different this time, some of the younger stars, and the father on the show with them. Daphne recognised them all and stood rapt until they finished shooting. She couldn't imagine getting tired of it or becoming blasé about it. It was magical watching them. After breakfast, she walked up to the castle, and waited for a tour of the parts they showed visitors. The history of the place was fascinating. Its heyday of opulence and luxury had been in the nineteenth and earlier part of the twentieth century. The Bedford family had had serious reverses after the Crash of 1929. Changing times had continued to diminish their fortune after the Second World War, and by the 1960s they were in serious trouble. However, they managed to hang on to the castle and estate by selling works of art, valuable objects like Faberge boxes, or the occasional investment that did well. The guide explained that the parts of the castle being used to film the show were the most beautiful but the tourists couldn't see them at the moment because they were in use for filming on a daily basis. Learning about it was fascinating and Daphne bought a book about the family and the castle on the way out. She learnt that nothing had changed much in the castle. The family couldn't afford it. They had titles and a beautiful castle, but had no money to maintain it.",Daphne 30 ______them all and stood rapt until they finished shooting.,Daphne recognisedthem all and stood rapt until they finished shooting.
15e618,Daphne,31,visualise,invent,expect,imagine,"Daphne was a fan of Bedford Castle show. She watched a new scene being shot early the next morning when she went for a walk before breakfast. The actors were different this time, some of the younger stars, and the father on the show with them. Daphne recognised them all and stood rapt until they finished shooting. She couldn't imagine getting tired of it or becoming blasé about it. It was magical watching them. After breakfast, she walked up to the castle, and waited for a tour of the parts they showed visitors. The history of the place was fascinating. Its heyday of opulence and luxury had been in the nineteenth and earlier part of the twentieth century. The Bedford family had had serious reverses after the Crash of 1929. Changing times had continued to diminish their fortune after the Second World War, and by the 1960s they were in serious trouble. However, they managed to hang on to the castle and estate by selling works of art, valuable objects like Faberge boxes, or the occasional investment that did well. The guide explained that the parts of the castle being used to film the show were the most beautiful but the tourists couldn't see them at the moment because they were in use for filming on a daily basis. Learning about it was fascinating and Daphne bought a book about the family and the castle on the way out. She learnt that nothing had changed much in the castle. The family couldn't afford it. They had titles and a beautiful castle, but had no money to maintain it.",She couldn't 31 ______ getting tired of it or becoming blasé about it.,She couldn't imagine getting tired of it or becoming blasé about it.
15e618,Daphne,32,travel,voyage,journey,tour,"Daphne was a fan of Bedford Castle show. She watched a new scene being shot early the next morning when she went for a walk before breakfast. The actors were different this time, some of the younger stars, and the father on the show with them. Daphne recognised them all and stood rapt until they finished shooting. She couldn't imagine getting tired of it or becoming blasé about it. It was magical watching them. After breakfast, she walked up to the castle, and waited for a tour of the parts they showed visitors. The history of the place was fascinating. Its heyday of opulence and luxury had been in the nineteenth and earlier part of the twentieth century. The Bedford family had had serious reverses after the Crash of 1929. Changing times had continued to diminish their fortune after the Second World War, and by the 1960s they were in serious trouble. However, they managed to hang on to the castle and estate by selling works of art, valuable objects like Faberge boxes, or the occasional investment that did well. The guide explained that the parts of the castle being used to film the show were the most beautiful but the tourists couldn't see them at the moment because they were in use for filming on a daily basis. Learning about it was fascinating and Daphne bought a book about the family and the castle on the way out. She learnt that nothing had changed much in the castle. The family couldn't afford it. They had titles and a beautiful castle, but had no money to maintain it.","After breakfast, she walked up to the castle, and waited for a 32 ______of the parts they showed visitors.","After breakfast, she walked up to the castle, and waited for a tourof the parts they showed visitors."
15e618,Daphne,33,problem,fault,worry,trouble,"Daphne was a fan of Bedford Castle show. She watched a new scene being shot early the next morning when she went for a walk before breakfast. The actors were different this time, some of the younger stars, and the father on the show with them. Daphne recognised them all and stood rapt until they finished shooting. She couldn't imagine getting tired of it or becoming blasé about it. It was magical watching them. After breakfast, she walked up to the castle, and waited for a tour of the parts they showed visitors. The history of the place was fascinating. Its heyday of opulence and luxury had been in the nineteenth and earlier part of the twentieth century. The Bedford family had had serious reverses after the Crash of 1929. Changing times had continued to diminish their fortune after the Second World War, and by the 1960s they were in serious trouble. However, they managed to hang on to the castle and estate by selling works of art, valuable objects like Faberge boxes, or the occasional investment that did well. The guide explained that the parts of the castle being used to film the show were the most beautiful but the tourists couldn't see them at the moment because they were in use for filming on a daily basis. Learning about it was fascinating and Daphne bought a book about the family and the castle on the way out. She learnt that nothing had changed much in the castle. The family couldn't afford it. They had titles and a beautiful castle, but had no money to maintain it.","Changing times had continued to diminish their fortune after the Second World War, and by the 1960s they were in serious33 ______.","Changing times had continued to diminish their fortune after the Second World War, and by the 1960s they were in serioustrouble."
15e618,Daphne,34,succeeded,fulfilled,completed,managed,"Daphne was a fan of Bedford Castle show. She watched a new scene being shot early the next morning when she went for a walk before breakfast. The actors were different this time, some of the younger stars, and the father on the show with them. Daphne recognised them all and stood rapt until they finished shooting. She couldn't imagine getting tired of it or becoming blasé about it. It was magical watching them. After breakfast, she walked up to the castle, and waited for a tour of the parts they showed visitors. The history of the place was fascinating. Its heyday of opulence and luxury had been in the nineteenth and earlier part of the twentieth century. The Bedford family had had serious reverses after the Crash of 1929. Changing times had continued to diminish their fortune after the Second World War, and by the 1960s they were in serious trouble. However, they managed to hang on to the castle and estate by selling works of art, valuable objects like Faberge boxes, or the occasional investment that did well. The guide explained that the parts of the castle being used to film the show were the most beautiful but the tourists couldn't see them at the moment because they were in use for filming on a daily basis. Learning about it was fascinating and Daphne bought a book about the family and the castle on the way out. She learnt that nothing had changed much in the castle. The family couldn't afford it. They had titles and a beautiful castle, but had no money to maintain it.","However, they 34 ______ to hang on to the castle and estate by selling works of art, valuable objects like Faberge boxes, or the occasional investment that did well.","However, they managed to hang on to the castle and estate by selling works of art, valuable objects like Faberge boxes, or the occasional investment that did well."
15e618,Daphne,35,approve,arrange,allow,afford,"Daphne was a fan of Bedford Castle show. She watched a new scene being shot early the next morning when she went for a walk before breakfast. The actors were different this time, some of the younger stars, and the father on the show with them. Daphne recognised them all and stood rapt until they finished shooting. She couldn't imagine getting tired of it or becoming blasé about it. It was magical watching them. After breakfast, she walked up to the castle, and waited for a tour of the parts they showed visitors. The history of the place was fascinating. Its heyday of opulence and luxury had been in the nineteenth and earlier part of the twentieth century. The Bedford family had had serious reverses after the Crash of 1929. Changing times had continued to diminish their fortune after the Second World War, and by the 1960s they were in serious trouble. However, they managed to hang on to the castle and estate by selling works of art, valuable objects like Faberge boxes, or the occasional investment that did well. The guide explained that the parts of the castle being used to film the show were the most beautiful but the tourists couldn't see them at the moment because they were in use for filming on a daily basis. Learning about it was fascinating and Daphne bought a book about the family and the castle on the way out. She learnt that nothing had changed much in the castle. The family couldn't afford it. They had titles and a beautiful castle, but had no money to maintain it.",The family couldn't35 ______ it.,The family couldn'tafford it.
15e618,Daphne,36,arrange,provide,continue,maintain,"Daphne was a fan of Bedford Castle show. She watched a new scene being shot early the next morning when she went for a walk before breakfast. The actors were different this time, some of the younger stars, and the father on the show with them. Daphne recognised them all and stood rapt until they finished shooting. She couldn't imagine getting tired of it or becoming blasé about it. It was magical watching them. After breakfast, she walked up to the castle, and waited for a tour of the parts they showed visitors. The history of the place was fascinating. Its heyday of opulence and luxury had been in the nineteenth and earlier part of the twentieth century. The Bedford family had had serious reverses after the Crash of 1929. Changing times had continued to diminish their fortune after the Second World War, and by the 1960s they were in serious trouble. However, they managed to hang on to the castle and estate by selling works of art, valuable objects like Faberge boxes, or the occasional investment that did well. The guide explained that the parts of the castle being used to film the show were the most beautiful but the tourists couldn't see them at the moment because they were in use for filming on a daily basis. Learning about it was fascinating and Daphne bought a book about the family and the castle on the way out. She learnt that nothing had changed much in the castle. The family couldn't afford it. They had titles and a beautiful castle, but had no money to maintain it.","They had titles and a beautiful castle, but had no money to 36 ______ it.","They had titles and a beautiful castle, but had no money to maintain it."
1B7697,My second visit,32,cheerful,forgetful,doubtful,careful,"It was my second visit to Dr Boxer. He answered the door exactly as he had done the first time, by opening only a crack and looking through it warily, as if there were something that he was careful not everyone should see. He reminded me of a gatekeeper in a fairy story: ageless and watchful. It was a feeling I would come to know well in the next months. Even now, years later and far away, sometimes in my dreams, I find myself standing before that white door, waiting for him to open it. When he saw it was me, he opened the door slightly wider than he had done the first time. He let me in. It was a beautiful room, not an office at all, and much bigger than it looked from outside – airy and white, with a high ceiling and two windows. In the corner, near a low bookshelf, was a big round table with teapots and Greek books, and there were flowers everywhere. I was surprised and impressed at the same time. Everywhere I looked, there was something beautiful – Oriental carpets, tiny paintings and white vases with flowers. He sat in an armchair by the window and said, ""I suppose you've come about the Greek class."" ""Yes."" ""It's rather late in the term,"" he said. ""Young people often find Greek a bore, which is not to say that it isn't good for them."" ""I'd like to study it again. It seems a shame to drop it after two years"". After a moment Dr Boxer said slowly, ""If you'd like, I'd be happy to take you as a pupil, Mr Brown.""","He answered the door exactly as he had done the first time, by opening only a crack and looking through it warily, as if there were something that he was 32 ______ not everyone should see.","He answered the door exactly as he had done the first time, by opening only a crack and looking through it warily, as if there were something that he was careful not everyone should see."
1B7697,My second visit,33,recovered,reviewed,remembered,reminded,"It was my second visit to Dr Boxer. He answered the door exactly as he had done the first time, by opening only a crack and looking through it warily, as if there were something that he was careful not everyone should see. He reminded me of a gatekeeper in a fairy story: ageless and watchful. It was a feeling I would come to know well in the next months. Even now, years later and far away, sometimes in my dreams, I find myself standing before that white door, waiting for him to open it. When he saw it was me, he opened the door slightly wider than he had done the first time. He let me in. It was a beautiful room, not an office at all, and much bigger than it looked from outside – airy and white, with a high ceiling and two windows. In the corner, near a low bookshelf, was a big round table with teapots and Greek books, and there were flowers everywhere. I was surprised and impressed at the same time. Everywhere I looked, there was something beautiful – Oriental carpets, tiny paintings and white vases with flowers. He sat in an armchair by the window and said, ""I suppose you've come about the Greek class."" ""Yes."" ""It's rather late in the term,"" he said. ""Young people often find Greek a bore, which is not to say that it isn't good for them."" ""I'd like to study it again. It seems a shame to drop it after two years"". After a moment Dr Boxer said slowly, ""If you'd like, I'd be happy to take you as a pupil, Mr Brown.""",He 33 ______ me of a gatekeeper in a fairy story: ageless and watchful.,He reminded me of a gatekeeper in a fairy story: ageless and watchful.
1B7697,My second visit,34,expecting,delaying,pausing,waiting,"It was my second visit to Dr Boxer. He answered the door exactly as he had done the first time, by opening only a crack and looking through it warily, as if there were something that he was careful not everyone should see. He reminded me of a gatekeeper in a fairy story: ageless and watchful. It was a feeling I would come to know well in the next months. Even now, years later and far away, sometimes in my dreams, I find myself standing before that white door, waiting for him to open it. When he saw it was me, he opened the door slightly wider than he had done the first time. He let me in. It was a beautiful room, not an office at all, and much bigger than it looked from outside – airy and white, with a high ceiling and two windows. In the corner, near a low bookshelf, was a big round table with teapots and Greek books, and there were flowers everywhere. I was surprised and impressed at the same time. Everywhere I looked, there was something beautiful – Oriental carpets, tiny paintings and white vases with flowers. He sat in an armchair by the window and said, ""I suppose you've come about the Greek class."" ""Yes."" ""It's rather late in the term,"" he said. ""Young people often find Greek a bore, which is not to say that it isn't good for them."" ""I'd like to study it again. It seems a shame to drop it after two years"". After a moment Dr Boxer said slowly, ""If you'd like, I'd be happy to take you as a pupil, Mr Brown.""","Even now, years later and far away, sometimes in my dreams, I find myself standing before that white door, 34 ______ for him to open it.","Even now, years later and far away, sometimes in my dreams, I find myself standing before that white door, waiting for him to open it."
1B7697,My second visit,35,viewed,watched,looked,saw,"It was my second visit to Dr Boxer. He answered the door exactly as he had done the first time, by opening only a crack and looking through it warily, as if there were something that he was careful not everyone should see. He reminded me of a gatekeeper in a fairy story: ageless and watchful. It was a feeling I would come to know well in the next months. Even now, years later and far away, sometimes in my dreams, I find myself standing before that white door, waiting for him to open it. When he saw it was me, he opened the door slightly wider than he had done the first time. He let me in. It was a beautiful room, not an office at all, and much bigger than it looked from outside – airy and white, with a high ceiling and two windows. In the corner, near a low bookshelf, was a big round table with teapots and Greek books, and there were flowers everywhere. I was surprised and impressed at the same time. Everywhere I looked, there was something beautiful – Oriental carpets, tiny paintings and white vases with flowers. He sat in an armchair by the window and said, ""I suppose you've come about the Greek class."" ""Yes."" ""It's rather late in the term,"" he said. ""Young people often find Greek a bore, which is not to say that it isn't good for them."" ""I'd like to study it again. It seems a shame to drop it after two years"". After a moment Dr Boxer said slowly, ""If you'd like, I'd be happy to take you as a pupil, Mr Brown.""","When he 35 ______ it was me, he opened the door slightly wider than he had done the first time.","When he saw it was me, he opened the door slightly wider than he had done the first time."
1B7697,My second visit,36,inclined,influenced,inspired,impressed,"It was my second visit to Dr Boxer. He answered the door exactly as he had done the first time, by opening only a crack and looking through it warily, as if there were something that he was careful not everyone should see. He reminded me of a gatekeeper in a fairy story: ageless and watchful. It was a feeling I would come to know well in the next months. Even now, years later and far away, sometimes in my dreams, I find myself standing before that white door, waiting for him to open it. When he saw it was me, he opened the door slightly wider than he had done the first time. He let me in. It was a beautiful room, not an office at all, and much bigger than it looked from outside – airy and white, with a high ceiling and two windows. In the corner, near a low bookshelf, was a big round table with teapots and Greek books, and there were flowers everywhere. I was surprised and impressed at the same time. Everywhere I looked, there was something beautiful – Oriental carpets, tiny paintings and white vases with flowers. He sat in an armchair by the window and said, ""I suppose you've come about the Greek class."" ""Yes."" ""It's rather late in the term,"" he said. ""Young people often find Greek a bore, which is not to say that it isn't good for them."" ""I'd like to study it again. It seems a shame to drop it after two years"". After a moment Dr Boxer said slowly, ""If you'd like, I'd be happy to take you as a pupil, Mr Brown.""",I was surprised and 36 ______ at the same time.,I was surprised and impressed at the same time.
