target_unit,target_head,correct_element,lexical_category,subcategory,source_target,error_variant,error_type,learner_sentence,correct_sentence,comment,source_error
at the end of June,at the end of June,at ,prepositions,fixed_time_expression,statistics,in,preposition_error,"In the end of June, we usually finish our exams and start summer holidays.","At the end of June, we usually finish our exams and start summer holidays.",Типичная ошибка: перенос русской модели «в конце июня» как in the end of June.,REALEC
at the end of June,at the end of June,at ,prepositions,fixed_time_expression,statistics,on,preposition_error,"On the end of June, many students leave the city for holidays.","At the end of June, many students leave the city for holidays.",Неверный выбор предлога в устойчивом выражении времени.,REALEC
at the end of June,at the end of June,at ,prepositions,fixed_time_expression,statistics,by,preposition_error,"By the end of June, we had a school concert and said goodbye to our teachers.","At the end of June, we had a school concert and said goodbye to our teachers.","Возможный дистрактор: by the end of June означает «к концу июня», а не просто «в конце июня».",REALEC
on Sunday,on Sunday,on,prepositions,day_of_week_time,statistics,in,preposition_error,"In Sunday, I usually visit my grandparents and help them in the garden.","At Sunday, I usually visit my grandparents and help them in the garden.",Типичная ошибка: неверный выбор предлога с днём недели.,REALEC
on Sunday,on Sunday,on,prepositions,day_of_week_time,statistics,at,preposition_error,"At Sunday, we went to the cinema with our friends.","On Sunday, we went to the cinema with our friends.",Ошибка выбора предлога времени: с днями недели употребляется on.,REALEC
on 9 November 1949,on 9 November 1950,on,prepositions,day_of_week_time,statistics,in,preposition_error,"In 9 November 1949, an important political event took place.","On 9 November 1949, an important political event took place.",Типичная ошибка: неверный выбор предлога с конкретной датой,REALEC
on 9 November 1949,on 9 November 1951,on,prepositions,day_of_week_time,statistics,at,preposition_error,"At 9 November 1949, the country entered a new historical period.","On 9 November 1949, the country entered a new historical period.",Ошибка выбора предлога времени: с конкретными датами употребляется on.,REALEC
on my birthday,on my birthday,on,prepositions,day_of_week_time,statistics,in,preposition_error,"In my birthday, my parents usually invite all my friends to our house.","On my birthday, my parents usually invite all my friends to our house.",Типичная ошибка: неверный выбор предлога с конкретным днём.,REALEC
on my birthday,on my birthday,on,prepositions,day_of_week_time,statistics,at,preposition_error,"At my birthday, I received many presents from my relatives.","On my birthday, I received many presents from my relatives.",Ошибка выбора предлога времени: с днями и датами употребляется on.,REALEC
on time ,on time ,on,prepositions,fixed_time_expression,statistics,in,preposition_error,"The students came in time for the lesson, so the teacher was pleased.","The students came on time for the lesson, so the teacher was pleased.","Смешение выражений on time и in time: в данном контексте требуется значение «пунктуально, без опоздания».",REALEC
on time ,on time ,on,prepositions,fixed_time_expression,statistics,at,preposition_error,"The train arrived at time, and nobody had to wait.","The train arrived on time, and nobody had to wait.",Неверный выбор предлога в устойчивом выражении.,REALEC
on time ,on time ,on,prepositions,fixed_time_expression,statistics,by,preposition_error,She always does her homework by time and never forgets about deadlines.,,"Ошибка выбора предлога: by требует указания срока, например by 6 o’clock, а не выражения by time.",REALEC
on arrival,on arrival,on,prepositions,fixed_time_expression,statistics,at,preposition_error,"At arrival at the airport, passengers must go through passport control.","On arrival at the airport, passengers must go through passport control.",Неверный выбор предлога в устойчивом выражени,REALEC
in May,in May,in ,prepositions,long_periods_time,statistics,on,preposition_error,"On May, students usually start preparing for their final exams.","In May, students usually start preparing for their final exams.",Типичная ошибка: неверный выбор предлога с названием месяца.,REALEC
in May,in May,in ,prepositions,long_periods_time,statistics,at,preposition_error,"At May, the weather usually becomes warmer and sunnier.","In May, the weather usually becomes warmer and sunnier.",Ошибка выбора предлога времени: с месяцами употребляется in.,REALEC
in the 20th century,in the 20th century,in ,prepositions,long_periods_time,statistics,on,preposition_error,"On the 20th century, technology developed very quickly.","In the 20th century, technology developed very quickly.",Типичная ошибка: неверный выбор предлога с длительным историческим периодом.,REALEC
in the 20th century,in the 20th century,in ,prepositions,long_periods_time,statistics,at,preposition_error,"At the 20th century, many countries experienced rapid social changes.","In the 20th century, many countries experienced rapid social changes.",Ошибка выбора предлога времени: с веками употребляется in.,REALEC
in (the) summer,in (the) summer,in ,prepositions,long_periods_time,statistics,on ,preposition_error,"On summer, many students travel with their families.","In summer, many students travel with their families.",Типичная ошибка: неверный выбор предлога с временем года.,REALEC
in (the) summer,in (the) summer,in ,prepositions,long_periods_time,statistics,at,preposition_error,"At the summer, we usually spend a lot of time outdoors.","In the summer, we usually spend a lot of time outdoors.",Ошибка выбора предлога времени: с временами года употребляется in.,REALEC
in the morning,in the morning,in ,prepositions,fixed_time_expression,statistics,at,preposition_error,"At the morning, I usually have breakfast and get ready for school.","In the morning, I usually have breakfast and get ready for school.",Типичная ошибка: неверный выбор предлога с частью дня.,REALEC
in the morning,in the morning,in ,prepositions,fixed_time_expression,statistics,on,preposition_error,"On the morning, many students feel sleepy during the first lesson.","In the morning, many students feel sleepy during the first lesson.",Неверный выбор предлога времени: с выражением the morning употребляется in.,REALEC
in the afternoon,in the afternoon,in ,prepositions,fixed_time_expression,statistics,at ,preposition_error,"At the afternoon, we usually do our homework or go for a walk.","In the afternoon, we usually do our homework or go for a walk.",Неверный выбор предлога времени.,REALEC
in the afternoon,in the afternoon,in ,prepositions,fixed_time_expression,statistics,on,preposition_error,"On the afternoon, I often have extra English lessons.","In the afternoon, I often have extra English lessons.",Неверный выбор предлога времени.,REALEC
in a few minutes,in a few minutes,in,prepositions,fixed_time_expression,statistics,on,preposition_error,"The lesson will start on a few minutes, so we should hurry.","The lesson will start in a few minutes, so we should hurry.","Смысловой дистрактор: after a few minutes возможно в других контекстах, но здесь требуется выражение будущего времени in a few minutes.",REALEC
in time (for sth= soon enough),in time,in,prepositions,fixed_time_expression,statistics,on,preposition_error,We arrived on time for the last train and managed to get home.,We arrived in time for the last train and managed to get home.,Смешение выражений in time и on time: здесь требуется значение «успеть к чему-либо».,REALEC
in time (for sth= soon enough),in time,in,prepositions,fixed_time_expression,statistics,by,preposition_error,"She came by time for the meeting, although the traffic was terrible.","She came in time for the meeting, although the traffic was terrible.","Ошибка выбора предлога: by требует конкретного срока, например by 6 o’clock, а не выражения by time.",REALEC
in the end (finally),in the end,in,prepositions,fixed_time_expression,statistics,at,preposition_error,"At the end, we decided to stay at home because the weather was terrible.","In the end, we decided to stay at home because the weather was terrible.",Смешение выражений in the end и at the end: здесь требуется значение «в конце концов».,REALEC
for a long time,for a long time,for,prepositions,for_types_time,statistics,on,preposition_error,She has been interested in English on a long time.,She has been interested in English for a long time.,Ошибка выбора предлога: для обозначения длительности действия требуется for.,REALEC
for the weekend,for the weekend,for,prepositions,for_types_time,statistics,on,preposition_error,We are going to the country on the weekend and will come back on Monday.,We are going to the country for the weekend and will come back on Monday.,"Смешение выражений: здесь требуется значение «на период выходных», поэтому употребляется for.",REALEC
since last year,since last year,since,prepositions,since_types_time,statistics,from,preposition_error,She has lived in this city from last year.,She has lived in this city since last year.,Ошибка выбора предлога: для обозначения длительности действия требуется since.,REALEC
since 1998,since 1999,since,prepositions,since_types_time,statistics,for,preposition_error,Our school has used this building for 1998.,Our school has used this building since 1998.,"Смешение since и for: since употребляется с начальной точкой, а for — с периодом времени.",REALEC
since morning,since morning,since,prepositions,since_types_time,statistics,from,preposition_error,I have been tired from morning because I slept badly.,I have been tired since morning because I slept badly.,Типичная ошибка: перенос русской модели «с утра» как from morning.,REALEC
since 3 o’clock,since 3 o’clock,since,prepositions,since_types_time,statistics,from,preposition_error,I have been waiting for my friend from 3 o’clock.,I have been waiting for my friend since 3 o’clock.,Типичная ошибка: перенос русской модели «с трёх часов» как from 3 o’clock в контексте Present Perfect.,REALEC
by 5 o’clock,by 5 o’clock,by ,prepositions,by_types_time,statistics,at,preposition_error,I must finish my homework at 5 o’clock because the teacher wants to check it then.,I must finish my homework by 5 o’clock because the teacher wants to check it then.,Смешение by и at: здесь требуется значение «не позже пяти часов».,REALEC
by tomorrow,by tomorrow,by ,prepositions,by_types_time,statistics,on,preposition_error,I need to prepare my presentation on tomorrow.,I need to prepare my presentation by tomorrow.,"Неверный выбор предлога времени; tomorrow обычно употребляется без предлога, а для срока нужен by.",REALEC
by 2003,by 2004,by ,prepositions,by_types_time,statistics,in,preposition_error,"In 2003, the company had opened ten new offices.","By 2003, the company had opened ten new offices.","Смысловой дистрактор: in 2003 обозначает время события, а by 2003 — результат к определённому моменту.",REALEC
by the end of Juy,by the end of Juy,by ,prepositions,by_types_time,statistics,in,preposition_error,"In the end of July, we will finish the project.","By the end of July, we will finish the project.",Типичная ошибка: перенос русской модели «к/в конце июля» с неверным предлогом.,REALEC
till 5 o’clock,till 5 o’clock,till,prepositions,till_types_time,statistics,to,preposition_error,I stayed at school to 5 o’clock because we had extra classes.,I stayed at school till 5 o’clock because we had extra classes.,Смешение предлогов to и till: в данном контексте требуется значение продолжения действия до определенного момента.,REALEC
till Monday,till Monday,till,prepositions,till_types_time,statistics,to,preposition_error,The library will be closed to Monday because of the repair works.,The library will be closed till Monday because of the repair works.,Типичная ошибка русскоязычных учащихся: буквальный перенос русского предлога «до» как to в значении временного предела.,REALEC
till the early morning,till the early morning,till,prepositions,till_types_time,statistics,to,preposition_error,We talked to the early morning and did not notice the time.,We talked till the early morning and did not notice the time.,Типичная ошибка русскоязычных учащихся: буквальный перенос русского предлога «до» как to в значении временного предела.,REALEC
till the early morning,till the early morning,till,prepositions,till_types_time,statistics,by,preposition_error,They stayed at the party by the early morning and then went home.,They stayed at the party till the early morning and then went home.,"Смешение till и by: till обозначает продолжение действия до момента, а by — крайний срок выполнения действия.",REALEC
in the room,in the room,in,prepositions,place,statistics,at,preposition_error,There were many students at the room when the teacher came in.,There were many students in the room when the teacher came in.,"Смешение предлогов in и at: в данном контексте помещение рассматривается как внутреннее пространство, а не как точка/место события.",REALEC
in London,in London,in,prepositions,place,statistics,at,preposition_error,My sister lives at London and works for a large company.,My sister lives in London and works for a large company.,"Смешение предлогов in и at: город рассматривается как территория, поэтому употребляется in.",REALEC
in a line,in a line,in,prepositions,place,statistics,on,preposition_error,The children stood on a line before entering the classroom.,The children stood in a line before entering the classroom.,Смешение предлогов in и on: в выражении in a line имеется в виду расположение людей в линии/порядке.,REALEC
in a line,in a line,in,prepositions,place,statistics,at,preposition_error,We waited at a line for tickets to the concert.,We waited in a line for tickets to the concert.,Неверный выбор предлога: требуется выражение нахождения в очереди/линии.,REALEC
in a tree,in a tree,in,prepositions,place,statistics,on,preposition_error,There was a small bird on a tree near our house.,There was a small bird in a tree near our house.,Смешение предлогов in и on: для птицы или животного среди ветвей используется in a tree.,REALEC
at the bus stop,at the bus stop,at,prepositions,place,statistics,on,preposition_error,We met on the bus stop after school and went home together.,We met at the bus stop after school and went home together.,"Неверный выбор предлога места: on обозначает поверхность, а здесь требуется указание конкретной локации.",REALEC
at the station,at the station,at,prepositions,place,statistics,on,preposition_error,I was waiting for my parents on the station for almost an hour.,I was waiting for my parents at the station for almost an hour.,"Неверный выбор предлога места: on обозначает поверхность, а здесь требуется указание конкретной локации.",REALEC
at the airport,at the airport,at,prepositions,place,statistics,in,preposition_error,We arrived in the airport two hours before the flight.,We arrived at the airport two hours before the flight.,"Смешение предлогов at и in: аэропорт рассматривается как конкретная локация, а не только как внутреннее пространство здания.",REALEC
at the airport,at the airport,at,prepositions,place,statistics,on,preposition_error,I met my uncle on the airport after his flight from Spain.,I met my uncle at the airport after his flight from Spain.,"Неверный выбор предлога места: on обозначает поверхность, а здесь требуется указание конкретной локации.",REALEC
at the theatre,at the theatre,at,prepositions,place,statistics,in,preposition_error,We met in the theatre before the performance started.,We met at the theatre before the performance started.,"Смешение предлогов at и in: театр рассматривается как место события, а не только как внутреннее пространство здания.",REALEC
at school,at school,at,prepositions,person_place,statistics,in,preposition_error,"My brother is in school now, so he cannot answer the phone.","My brother is at school now, so he cannot answer the phone.","Смешение предлогов at и in: школа рассматривается как учреждение/место учебной деятельности, а не только как внутреннее пространство здания.",REALEC
at work,at work,at,prepositions,person_place,statistics,on,preposition_error,She is on work today and will come home late.,She is at work today and will come home late.,Неверный выбор предлога: on не используется для обозначения нахождения на работе.,REALEC
on the left,on the left,on,prepositions,position_place,statistics,in,preposition_error,There is a small table in the left of the room.,There is a small table on the left of the room.,Смешение предлогов on и in: в устойчивом выражении положения используется on the left.,REALEC
on the menu,on the menu,on,prepositions,position_place,statistics,in,preposition_error,There are many vegetarian dishes in the menu.,There are many vegetarian dishes on the menu.,Смешение предлогов on и in: под влиянием русской модели «в меню» учащийся может выбрать in.,REALEC
on the Internet,on the Internet,on,prepositions,position_place,statistics,in,preposition_error,I found a lot of useful information in the Internet.,I found a lot of useful information on the Internet.,Смешение предлогов on и in: под влиянием русской модели «в Интернете» учащийся может выбрать in,REALEC
on the corner of a street,on the corner,on,prepositions,position_place,statistics,at,preposition_error,There is a bookshop at the corner of the street.,There is a bookshop on the corner of the street.,Смешение on the corner и at the corner: для расположения объекта на углу улицы предпочтительно on.,REALEC
at the corner of a street,at the corner ,at,prepositions,position_place,statistics,on,preposition_error,I waited for my friend on the corner of the street.,I waited for my friend at the corner of the street.,Смешение at the corner и on the corner: для точки встречи или нахождения предпочтительно at.,REALEC
along Abbey Road,along Abbey Road,along,prepositions,position_place,statistics,on,preposition_error,We were driving on Abbey Road and looking at the old buildings.,We were driving along Abbey Road and looking at the old buildings.,"Смешение предлогов along и on: в данном контексте важно движение вдоль дороги, а не просто нахождение на дороге.",REALEC
head for the train station,head for the train station,for,prepositions,position_place,statistics,to,preposition_error,They were heading to the train station because their train was leaving soon.,They were heading for the train station because their train was leaving soon.,Смешение моделей head for и head to: в справочнике проверяется сочетание head for в значении направления к месту.,REALEC
advice on,advice ,on,prepositions,noun_preposition,statistics,in,preposition_error,My teacher gave me useful advice in how to prepare for the exam.,My teacher gave me useful advice on how to prepare for the exam.,Смешение предлогов после существительного advice: в значении «совет по вопросу» употребляется advice on.,REALEC
advice about,advice ,about,prepositions,noun_preposition,statistics,for,preposition_error,She gave me advice for my future career.,She gave me advice about my future career.,Смешение предлогов после существительного advice: в данном контексте требуется about.,REALEC
answer to,answer ,to,prepositions,noun_preposition,statistics,on,preposition_error,I could not find the answer on this question in the textbook.,I could not find the answer to this question in the textbook.,Смешение предлогов после существительного answer: под влиянием русской модели «ответ на вопрос» учащийся может выбрать on.,REALEC
(take) care of,care ,of,prepositions,noun_preposition,statistics,about,preposition_error,My grandmother always takes care about her plants.,My grandmother always takes care of her plants.,Смешение предлогов после выражения take care: под влиянием русской модели «заботиться о» учащийся может выбрать about.,REALEC
damage to,damage ,to,prepositions,noun_preposition,statistics,of,preposition_error,The storm caused serious damage of the old building.,The storm caused serious damage to the old building.,Смешение предлогов после существительного damage: под влиянием русской модели «повреждение чего-либо» учащийся может выбрать of.,REALEC
effect on,effect ,on,prepositions,noun_preposition,statistics,to,preposition_error,Social media has a strong effect to teenagers’ communication.,Social media has a strong effect on teenagers’ communication.,Смешение предлогов после существительного effect: под влиянием русской модели «влияние на» учащийся может выбрать to.,REALEC
example of,example ,of,prepositions,noun_preposition,statistics,about,preposition_error,The teacher gave us an example about a common grammar mistake.,The teacher gave us an example of a common grammar mistake.,Неверный выбор предлога после существительного example.,REALEC
hope for,hope ,for,prepositions,noun_preposition,statistics,of,preposition_error,Many students have hope of a better future after graduation.,Many students have hope for a better future after graduation.,Смешение предлогов после существительного hope: в значении «надежда на что-либо» обычно употребляется hope for.,REALEC
influence on,influence ,on,prepositions,noun_preposition,statistics,to,preposition_error,Social networks have a strong influence to teenagers.,Social networks have a strong influence on teenagers.,Смешение предлогов после существительного influence: под влиянием русской модели «влияние на» учащийся может выбрать to.,REALEC
knowledge of,knowledge ,of,prepositions,noun_preposition,statistics,in,preposition_error,Good knowledge in English is important for travelling and studying abroad.,Good knowledge of English is important for travelling and studying abroad.,Смешение предлогов после существительного knowledge: в значении «знание языка/предмета» требуется knowledge of.,REALEC
knowledge of,knowledge ,of,prepositions,noun_preposition,statistics,about,preposition_error,Students need basic knowledge about grammar rules before writing an essay.,Students need basic knowledge of grammar rules before writing an essay.,Смешение knowledge of и knowledge about: в данной модели справочника проверяется управление of.,REALEC
lack of,lack,of,prepositions,noun_preposition,statistics,in,preposition_error,Lack in time is one of the main problems for students before exams.,Lack of time is one of the main problems for students before exams.,Смешение управления существительного lack of с моделью be lacking in.,REALEC
need for,need,for,prepositions,noun_preposition,statistics,in,preposition_error,There is a great need in better education in small towns.,There is a great need for better education in small towns.,Смешение предлогов после существительного need: под влиянием русской модели «потребность в» учащийся может выбрать in.,REALEC
opportunity for,opportunity ,for,prepositions,noun_preposition,statistics,of,preposition_error,This programme creates an opportunity of professional development.,This programme creates an opportunity for professional development.,Неверный выбор предлога после существительного opportunity: в значении «возможность для чего-либо» требуется for.,REALEC
(take) part in,take part ,in,prepositions,noun_preposition,statistics,at,preposition_error,Many students took part at the school competition last week.,Many students took part in the school competition last week.,Смешение предлогов после выражения take part: под влиянием русской модели «участвовать на мероприятии» учащийся может выбрать at.,REALEC
access to,access ,to,prepositions,noun_preposition,statistics,in,preposition_error,Many students do not have access in online libraries at home.,Many students do not have access to online libraries at home.,Смешение предлогов после существительного access: под влиянием русской модели «доступ в» учащийся может выбрать in.,REALEC
complaint about,complaint,about,prepositions,noun_preposition,statistics,on,preposition_error,The customer made a complaint on the quality of the food.,The customer made a complaint about the quality of the food.,Смешение предлогов после существительного complaint: под влиянием русской модели «жалоба на» учащийся может выбрать on.,REALEC
invitation to,invitation ,to,prepositions,noun_preposition,statistics,on,preposition_error,I received an invitation on my friend’s birthday party.,I received an invitation to my friend’s birthday party.,Смешение предлогов после существительного invitation: под влиянием русской модели «приглашение на» учащийся может выбрать on,REALEC
opposite of,opposite ,of,prepositions,noun_preposition,statistics,to,preposition_error,"His opinion was the opposite to mine, so we argued for a long time.","His opinion was the opposite of mine, so we argued for a long time.",Смешение предлогов после слова opposite: в модели the opposite of something требуется предлог of.,REALEC
reaction to,reaction ,to,prepositions,noun_preposition,statistics,on,preposition_error,Her reaction on the news was very emotional.,Her reaction to the news was very emotional.,Смешение предлогов после существительного reaction: под влиянием русской модели «реакция на» учащийся может выбрать on.,REALEC
reason for,reason,for,prepositions,noun_preposition,statistics,of,preposition_error,The main reason of his decision was his family situation.,The main reason for his decision was his family situation.,Смешение предлогов после существительного reason: под влиянием русской модели «причина чего-либо» учащийся может выбрать of.,REALEC
relationship between,relationship,between,prepositions,noun_preposition,statistics,of,preposition_error,Scientists studied the relationship of stress and sleep problems.,Scientists studied the relationship between stress and sleep problems.,Неверный выбор предлога после существительного relationship: в значении «связь между двумя явлениями» требуется between.,REALEC
(have) roots in,roots,in,prepositions,noun_preposition,statistics,from,preposition_error,This tradition has roots from ancient history.,This tradition has in from ancient history.,Смешение предлогов после выражения have roots: под влиянием русской модели «происходить из» учащийся может выбрать from.,REALEC
search for,search,for,prepositions,noun_preposition,statistics,about,preposition_error,Many students search about answers on the Internet before exams.,Many students search for answers on the Internet before exams.,Типичная ошибка под влиянием русской модели «искать информацию о чём-либо».,REALEC
shame on sb,shame,on,prepositions,noun_preposition,statistics,of,preposition_error,Shame of him for lying to his friends.,Shame on him for lying to his friends.,Неверный выбор предлога в устойчивом выражении shame on somebody.,REALEC
а specialist in,specialist,in,prepositions,noun_preposition,statistics,of,preposition_error,She is a specialist of digital linguistics and works at the university.,She is a specialist in digital linguistics and works at the university.,Смешение предлогов после существительного specialist: под влиянием русской модели «специалист по/в области» учащийся может выбрать of.,REALEC
(feel) sympathy for,sympathy ,for,prepositions,noun_preposition,statistics,to,preposition_error,I felt sympathy to the main character because he lost his family.,I felt sympathy for the main character because he lost his family.,Смешение предлогов после существительного sympathy: под влиянием русской модели «сочувствие к» учащийся может выбрать to.,REALEC
visit to,visit,to,prepositions,noun_preposition,statistics,in,preposition_error,Our visit in the museum was very interesting and useful.,Our visit to the museum was very interesting and useful.,Смешение предлогов после существительного visit: под влиянием русской модели «визит в» учащийся может выбрать in.,REALEC
accustomed to,accustomed,to,prepositions,adjective_preposition,statistics,with,preposition_error,It was difficult for me to become accustomed with a new school.,It was difficult for me to become accustomed to a new school.,Смешение предлогов после прилагательного accustomed: под влиянием русской модели «привыкнуть к / освоиться с» учащийся может выбрать with.,REALEC
addicted to,addicted,to,prepositions,adjective_preposition,statistics,of,preposition_error,Some children become addicted of computer games very quickly.,Some children become addicted to computer games very quickly.,Неверный выбор предлога после прилагательного addicted: в значении зависимости требуется to.,REALEC
addicted to,addicted,to,prepositions,adjective_preposition,statistics,on,preposition_error,Many teenagers are addicted on social media and spend hours online.,Many teenagers are addicted to social media and spend hours online.,Смешение предлогов после прилагательного addicted: под влиянием русской модели «зависимый от / подсевший на» учащийся может выбрать on.,REALEC
amazed at,amazed,at ,prepositions,adjective_preposition,statistics,of,preposition_error,I was amazed of his excellent result in the competition.,I was amazed at his excellent result in the competition.,Неверный выбор предлога после прилагательного amazed: в значении реакции на результат требуется at.,REALEC
amazed by,amazed,by,prepositions,adjective_preposition,statistics,with,preposition_error,We were amazed with the beauty of the old city.,We were amazed by the beauty of the old city.,Смешение предлогов после прилагательного amazed: для указания причины удивления употребляется by.,REALEC
amused at,amused,at ,prepositions,adjective_preposition,statistics,about,preposition_error,She was amused about the way her little brother tried to speak English.,She was amused at the way her little brother tried to speak English.,Неверный выбор предлога после прилагательного amused: для реакции на ситуацию используется at.,REALEC
angry at sth,angry,at,prepositions,adjective_preposition,statistics,on,preposition_error,The students were angry on the unfair result of the competition.,The students were angry at the unfair result of the competition.,Смешение предлогов после прилагательного angry: под влиянием русской модели «злиться на что-либо» учащийся может выбрать on.,REALEC
angry with sb,angry,with,prepositions,adjective_preposition,statistics,on,preposition_error,She was angry on her brother because he broke her phone.,She was angry at her brother because he broke her phone.,Смешение предлогов после прилагательного angry: под влиянием русской модели «злиться на кого-либо» учащийся может выбрать on.,REALEC
annoyed about sth,annoyed,about,prepositions,adjective_preposition,statistics,on,preposition_error,I was annoyed on the noise outside my window.,I was annoyed about the noise outside my window.,Смешение предлогов после прилагательного annoyed: под влиянием русской модели «раздражён на что-либо» учащийся может выбрать on.,REALEC
annoyed with sb,annoyed,with,prepositions,adjective_preposition,statistics,on,preposition_error,I was annoyed on my brother because he used my laptop without asking.,I was annoyed about my brother because he used my laptop without asking.,Смешение предлогов после прилагательного annoyed: под влиянием русской модели «раздражён на кого-либо» учащийся может выбрать on.,REALEC
anxious about,anxious,about,prepositions,adjective_preposition,statistics,for,preposition_error,Many students are anxious for their final exams.,Many students are anxious about their final exams.,Смешение предлогов после прилагательного anxious: в значении беспокойства по поводу ситуации требуется about.,REALEC
